sample,eruptions,waiting,severe
194,3.966,77,1.0
195,4.2330000000000005,81,1.0
196,3.5,87,1.0
197,4.3660000000000005,77,1.0
198,2.25,51,-1.0
199,4.667,78,1.0
200,2.1,60,-1.0
201,4.35,82,1.0
202,4.133,91,1.0
203,1.867,53,-1.0
204,4.6,78,1.0
205,1.7830000000000001,46,-1.0
206,4.367,77,1.0
207,3.85,84,1.0
208,1.933,49,-1.0
209,4.5,83,1.0
210,2.383,71,-1.0
211,4.7,80,1.0
212,1.867,49,-1.0
213,3.833,75,1.0
214,3.417,64,1.0
215,4.2330000000000005,76,1.0
216,2.4,53,-1.0
217,4.8,94,1.0
218,2.0,55,-1.0
219,4.15,76,1.0
220,1.867,50,-1.0
221,4.2669999999999995,82,1.0
222,1.75,54,-1.0
223,4.4830000000000005,75,1.0
224,4.0,78,1.0
225,4.117,79,1.0
226,4.083,78,1.0
227,4.2669999999999995,78,1.0
228,3.917,70,1.0
229,4.55,79,1.0
230,4.083,70,1.0
231,2.417,54,-1.0
232,4.183,86,1.0
233,2.217,50,-1.0
234,4.45,90,1.0
235,1.883,54,-1.0
236,1.85,54,-1.0
237,4.283,77,1.0
238,3.95,79,1.0
239,2.333,64,-1.0
240,4.15,75,1.0
241,2.35,47,-1.0
242,4.933,86,1.0
243,2.9,63,-1.0
244,4.583,85,1.0
245,3.833,82,1.0
246,2.083,57,-1.0
247,4.367,82,1.0
248,2.133,67,-1.0
249,4.35,74,1.0
250,2.2,54,-1.0
251,4.45,83,1.0
252,3.5669999999999997,73,1.0
253,4.5,73,1.0
254,4.15,88,1.0
255,3.8169999999999997,80,1.0
256,3.917,71,1.0
257,4.45,83,1.0
258,2.0,56,-1.0
259,4.283,79,1.0
260,4.7669999999999995,78,1.0
261,4.533,84,1.0
262,1.85,58,-1.0
263,4.25,83,1.0
264,1.983,43,-1.0
265,2.25,60,-1.0
266,4.75,75,1.0
267,4.117,81,1.0
268,2.15,46,-1.0
269,4.417,90,1.0
270,1.817,46,-1.0
271,4.467,74,1.0
